employee_id,first_name,last_name,branch_id,department,job_title,level,hire_date,termination_date,employment_status,salary,bonus_eligible,manager_id,email
1,Michael,Scott,1,Management,Regional Manager,5,2013-04-06,,Active,95000,True,,michael.scott@dundermifflin.com
2,Dwight,Schrute,1,Sales,Assistant Regional Manager,3,2009-12-10,,Active,68000,True,1,dwight.schrute@dundermifflin.com
3,Jim,Halpert,1,Sales,Sales Representative,3,2007-12-03,,Active,60000,True,1,jim.halpert@dundermifflin.com
4,Pam,Beesly,1,Administration,Office Administrator,2,2005-10-22,,Active,42000,False,1,pam.beesly@dundermifflin.com
5,Andy,Bernard,1,Sales,Sales Representative,3,2012-02-19,,Active,58000,True,1,andy.bernard@dundermifflin.com
6,Stanley,Hudson,1,Sales,Sales Representative,3,2014-10-27,,Active,62000,True,1,stanley.hudson@dundermifflin.com
7,Phyllis,Vance,1,Sales,Sales Representative,3,2007-12-17,,Active,57000,True,1,phyllis.vance@dundermifflin.com
8,Angela,Martin,1,Accounting,Senior Accountant,3,2014-11-18,,Active,61000,True,1,angela.martin@dundermifflin.com
9,Kevin,Malone,1,Accounting,Staff Accountant,2,2014-04-05,,Active,47000,False,1,kevin.malone@dundermifflin.com
10,Oscar,Martinez,1,Accounting,Senior Accountant,3,2005-05-28,,Active,63000,True,1,oscar.martinez@dundermifflin.com
11,Toby,Flenderson,1,Human Resources,HR Representative,3,2006-08-19,,Active,59000,True,1,toby.flenderson@dundermifflin.com
12,Kelly,Kapoor,1,Customer Service,Customer Service Rep,2,2008-02-12,,Active,44000,False,1,kelly.kapoor@dundermifflin.com
13,Meredith,Palmer,1,Supplier Relations,Supplier Relations Rep,2,2006-11-21,,Active,45000,False,1,meredith.palmer@dundermifflin.com
14,Creed,Bratton,1,Quality Assurance,Quality Assurance Director,2,2014-03-05,,Active,46000,False,1,creed.bratton@dundermifflin.com
15,Darryl,Philbin,1,Warehouse,Warehouse Foreman,3,2014-01-16,,Active,52000,True,1,darryl.philbin@dundermifflin.com
16,Erin,Hannon,1,Administration,Receptionist,1,2012-01-06,,Active,34000,False,1,erin.hannon@dundermifflin.com
17,Roy,Anderson,1,Warehouse,Warehouse Associate,1,2014-09-01,,Active,36000,False,1,roy.anderson@dundermifflin.com
18,Ryan,Howard,1,Sales,Sales Representative,2,2006-05-20,,Active,41000,False,1,ryan.howard@dundermifflin.com
19,Holly,Flax,4,Human Resources,HR Representative,3,2014-05-10,,Active,58000,True,,holly.flax@dundermifflin.com
20,Nellie,Bertram,1,Management,Special Projects Manager,4,2009-09-06,,Active,82000,True,1,nellie.bertram@dundermifflin.com
21,Gabe,Lewis,1,Management,Regional Liaison,4,2006-09-19,,Active,79000,True,1,gabe.lewis@dundermifflin.com
22,Jan,Levinson,11,Corporate,VP of Sales,5,2007-11-08,,Active,168000,True,23,jan.levinson@dundermifflin.com
23,David,Wallace,11,Corporate,Chief Financial Officer,6,2012-08-24,,Active,255000,True,,david.wallace@dundermifflin.com
24,Robert,California,11,Corporate,Chief Executive Officer,6,2010-05-22,,Active,410000,True,23,robert.california@dundermifflin.com
25,Charles,Miner,11,Corporate,VP of Northeast Region,5,2009-08-23,,Active,172000,True,23,charles.miner@dundermifflin.com
26,Leah,Haddad,7,Administration,Office Administrator,2,2011-02-11,,Active,35142,False,39,leah.haddad26@dundermifflin.com
27,Hugo,Ali,7,Warehouse,Warehouse Associate,1,2012-07-05,,Active,29765,False,39,hugo.ali27@dundermifflin.com
28,Sage,Flores,8,Accounting,Staff Accountant,2,2018-03-18,,Active,46920,False,34,sage.flores28@dundermifflin.com
29,Fatima,Wilson,2,Human Resources,HR Representative,3,2018-03-04,,Active,57637,True,,fatima.wilson29@dundermifflin.com
30,Avery,Wilson,1,Human Resources,HR Representative,3,2014-04-02,2018-05-22,Terminated,65004,True,1,avery.wilson30@dundermifflin.com
31,Skyler,Yamamoto,6,Administration,Office Administrator,2,2014-10-20,,Active,43166,False,43,skyler.yamamoto31@dundermifflin.com
32,Riley,Novak,3,Accounting,Staff Accountant,2,2014-03-01,,Active,51755,False,48,riley.novak32@dundermifflin.com
33,Tomas,Okafor,1,Warehouse,Warehouse Associate,1,2011-12-16,,Active,25399,False,1,tomas.okafor33@dundermifflin.com
34,Tomas,Anderson,8,Human Resources,HR Representative,3,2010-01-04,,Active,63146,True,,tomas.anderson34@dundermifflin.com
35,Avery,Petrov,5,Human Resources,HR Representative,3,2018-10-07,,Active,66855,True,,avery.petrov35@dundermifflin.com
36,Parker,Ali,9,Human Resources,HR Representative,3,2013-05-18,,Active,58887,True,,parker.ali36@dundermifflin.com
37,Peyton,Rossi,4,Accounting,Staff Accountant,2,2012-05-28,,Active,45085,False,19,peyton.rossi37@dundermifflin.com
