employee_id,first_name,last_name,branch_id,department,job_title,level,hire_date,termination_date,employment_status,salary,bonus_eligible,manager_id,email
1,Michael,Scott,1,Management,Regional Manager,5,2013-04-06,,Active,95000,True,,michael.scott@dundermifflin.com
2,Dwight,Schrute,1,Sales,Assistant Regional Manager,3,2009-12-10,,Active,68000,True,1.0,dwight.schrute@dundermifflin.com
3,Jim,Halpert,1,Sales,Sales Representative,3,2007-12-03,,Active,60000,True,1.0,jim.halpert@dundermifflin.com
4,Pam,Beesly,1,Administration,Office Administrator,2,2005-10-22,,Active,42000,False,1.0,pam.beesly@dundermifflin.com
5,Andy,Bernard,1,Sales,Sales Representative,3,2012-02-19,,Active,58000,True,1.0,andy.bernard@dundermifflin.com
6,Stanley,Hudson,1,Sales,Sales Representative,3,2014-10-27,,Active,62000,True,1.0,stanley.hudson@dundermifflin.com
7,Phyllis,Vance,1,Sales,Sales Representative,3,2007-12-17,,Active,57000,True,1.0,phyllis.vance@dundermifflin.com
8,Angela,Martin,1,Accounting,Senior Accountant,3,2014-11-18,,Active,61000,True,1.0,angela.martin@dundermifflin.com
9,Kevin,Malone,1,Accounting,Staff Accountant,2,2014-04-05,,Active,47000,False,1.0,kevin.malone@dundermifflin.com
10,Oscar,Martinez,1,Accounting,Senior Accountant,3,2005-05-28,,Active,63000,True,1.0,oscar.martinez@dundermifflin.com
11,Toby,Flenderson,1,Human Resources,HR Representative,3,2006-08-19,,Active,59000,True,1.0,toby.flenderson@dundermifflin.com
12,Kelly,Kapoor,1,Customer Service,Customer Service Rep,2,2008-02-12,,Active,44000,False,1.0,kelly.kapoor@dundermifflin.com
13,Meredith,Palmer,1,Supplier Relations,Supplier Relations Rep,2,2006-11-21,,Active,45000,False,1.0,meredith.palmer@dundermifflin.com
14,Creed,Bratton,1,Quality Assurance,Quality Assurance Director,2,2014-03-05,,Active,46000,False,1.0,creed.bratton@dundermifflin.com
15,Darryl,Philbin,1,Warehouse,Warehouse Foreman,3,2014-01-16,,Active,52000,True,1.0,darryl.philbin@dundermifflin.com
16,Erin,Hannon,1,Administration,Receptionist,1,2012-01-06,,Active,34000,False,1.0,erin.hannon@dundermifflin.com
17,Roy,Anderson,1,Warehouse,Warehouse Associate,1,2014-09-01,,Active,36000,False,1.0,roy.anderson@dundermifflin.com
18,Ryan,Howard,1,Sales,Sales Representative,2,2006-05-20,,Active,41000,False,1.0,ryan.howard@dundermifflin.com
19,Holly,Flax,4,Human Resources,HR Representative,3,2014-05-10,,Active,58000,True,,holly.flax@dundermifflin.com
20,Nellie,Bertram,1,Management,Special Projects Manager,4,2009-09-06,,Active,82000,True,1.0,nellie.bertram@dundermifflin.com
21,Gabe,Lewis,1,Management,Regional Liaison,4,2006-09-19,,Active,79000,True,1.0,gabe.lewis@dundermifflin.com
29,Fatima,Wilson,2,Human Resources,HR Representative,3,2018-03-04,,Active,57637,True,,fatima.wilson29@dundermifflin.com
30,Avery,Wilson,1,Human Resources,HR Representative,3,2014-04-02,2018-05-22,Terminated,65004,True,1.0,avery.wilson30@dundermifflin.com
33,Tomas,Okafor,1,Warehouse,Warehouse Associate,1,2011-12-16,,Active,25399,False,1.0,tomas.okafor33@dundermifflin.com
34,Tomas,Anderson,8,Human Resources,HR Representative,3,2010-01-04,,Active,63146,True,,tomas.anderson34@dundermifflin.com
35,Avery,Petrov,5,Human Resources,HR Representative,3,2018-10-07,,Active,66855,True,,avery.petrov35@dundermifflin.com
36,Parker,Ali,9,Human Resources,HR Representative,3,2013-05-18,,Active,58887,True,,parker.ali36@dundermifflin.com
39,Peyton,Dubois,7,Sales,Sales Representative,3,2016-09-23,,Active,50186,True,,peyton.dubois39@dundermifflin.com
40,Taylor,Costa,1,Accounting,Senior Accountant,3,2016-01-27,,Active,69394,True,1.0,taylor.costa40@dundermifflin.com
41,Blake,Ali,1,Customer Service,Customer Service Rep,2,2009-01-17,,Active,43174,False,1.0,blake.ali41@dundermifflin.com
43,Jamie,Flores,6,Human Resources,HR Representative,3,2013-11-30,,Active,65147,True,,jamie.flores43@dundermifflin.com
45,Casey,Gonzalez,6,Sales,Sales Representative,3,2009-05-20,,Active,52856,True,43.0,casey.gonzalez45@dundermifflin.com
48,Micah,Kim,3,Accounting,Senior Accountant,3,2017-02-06,,Active,63639,True,,micah.kim48@dundermifflin.com
54,Hugo,Miller,1,Warehouse,Warehouse Associate,1,2013-03-21,,Active,28944,False,1.0,hugo.miller54@dundermifflin.com
61,Peyton,Yamamoto,8,Sales,Sales Representative,3,2009-01-31,,Active,74844,True,34.0,peyton.yamamoto61@dundermifflin.com
64,Hugo,Martinez,8,Sales,Junior Sales Rep,2,2018-07-11,,Active,43883,False,34.0,hugo.martinez64@dundermifflin.com
66,Omar,Gonzalez,10,Accounting,Senior Accountant,3,2009-04-15,,Active,61574,True,,omar.gonzalez66@dundermifflin.com
69,Tomas,Garcia,6,Sales,Junior Sales Rep,2,2014-07-29,,Active,42050,False,43.0,tomas.garcia69@dundermifflin.com
72,Riley,Singh,1,Human Resources,HR Representative,3,2014-09-20,,Active,79591,True,1.0,riley.singh72@dundermifflin.com
74,Tomas,Martinez,4,Sales,Sales Representative,3,2011-01-03,,Active,58649,True,19.0,tomas.martinez74@dundermifflin.com
76,Nina,Reyes,9,Sales,Junior Sales Rep,2,2016-02-23,,Active,37578,False,36.0,nina.reyes76@dundermifflin.com
78,Sofia,Gonzalez,4,Sales,Sales Representative,3,2015-10-15,,Active,66898,True,19.0,sofia.gonzalez78@dundermifflin.com
83,Skyler,Bauer,1,Sales,Sales Representative,3,2013-09-09,,Active,70888,True,1.0,skyler.bauer83@dundermifflin.com
84,Bianca,Novak,7,Sales,Sales Representative,3,2017-11-12,,Active,63941,True,39.0,bianca.novak84@dundermifflin.com
85,Sofia,Chen,1,Administration,Receptionist,1,2011-03-06,,Active,28720,False,1.0,sofia.chen85@dundermifflin.com
86,Kai,Gonzalez,9,Sales,Junior Sales Rep,2,2013-10-13,,Active,31416,False,36.0,kai.gonzalez86@dundermifflin.com
90,Quinn,Jackson,1,Warehouse,Warehouse Foreman,3,2013-07-29,,Active,52318,True,1.0,quinn.jackson90@dundermifflin.com
92,Micah,Novak,9,Sales,Sales Representative,3,2013-11-22,,Active,70691,True,36.0,micah.novak92@dundermifflin.com
